Hospital
Metropolis West Hospital #31
Astoria General Hospital #86
Sunnydale East Hospital #95
Hawkins Memorial Hospital #65
Rivertown West Hospital #93
Stars Hollow North Hospital #69
Gotham West Hospital #52
Capitol City Community Hospital #78
Gotham Memorial Hospital #7
Smallville City Hospital #51
Hill Valley North Hospital #75
Astoria Regional Hospital #79
Rivertown North Hospital #38
Capitol City Saint Hospital #44
Sunnydale Memorial Hospital #27
Smallville South Hospital #32
Dawson's Creek General Hospital #72
Shelbyville City Hospital #32
Hawkins South Hospital #31
Capitol City General Hospital #82
Capitol City East Hospital #84
Greendale Saint Hospital #51
Hill Valley Regional Hospital #51
Sunnydale Community Hospital #4
Gotham West Hospital #68
Shelbyville Saint Hospital #44
Springfield Saint Hospital #85
Stars Hollow West Hospital #36
Rivertown West Hospital #53
Greendale West Hospital #5
Shelbyville Community Hospital #67
Hill Valley Regional Hospital #43
Smallville City Hospital #57
Gotham South Hospital #90
Hawkins Memorial Hospital #1
Metropolis Memorial Hospital #76
Stars Hollow East Hospital #19
Sunnydale General Hospital #37
Sunnydale Regional Hospital #87
Greendale Memorial Hospital #75
Springfield Community Hospital #68
Hawkins East Hospital #11
Gotham Community Hospital #90
Smallville Regional Hospital #49
Smallville City Hospital #81
Smallville Saint Hospital #58
Shelbyville Community Hospital #10
Astoria West Hospital #81
Metropolis General Hospital #70
Rivertown East Hospital #45
Eagleton East Hospital #40
Stars Hollow South Hospital #46
Hawkins Regional Hospital #93
Metropolis North Hospital #68
Rivertown Regional Hospital #30
Astoria Community Hospital #52
Sunnydale City Hospital #19
Rivertown West Hospital #96
Dawson's Creek Saint Hospital #29
Metropolis General Hospital #8
Eagleton Regional Hospital #25
Metropolis Memorial Hospital #19
Hawkins Memorial Hospital #95
Sunnydale City Hospital #74
Hawkins West Hospital #44
Astoria East Hospital #11
Dawson's Creek Regional Hospital #79
Hill Valley Regional Hospital #40
Greendale Regional Hospital #61
Shelbyville North Hospital #68
Sunnydale Memorial Hospital #53
Metropolis General Hospital #73
Capitol City General Hospital #99
Smallville Community Hospital #99
Astoria Community Hospital #28
Astoria General Hospital #80
Smallville West Hospital #72
Smallville West Hospital #12
Shelbyville East Hospital #59
Greendale Saint Hospital #91
Eagleton Community Hospital #74
Greendale East Hospital #81
Gotham West Hospital #78
Rivertown City Hospital #30
Metropolis Regional Hospital #1
Stars Hollow North Hospital #66
Hill Valley Community Hospital #68
Capitol City Regional Hospital #29
Metropolis East Hospital #59
Stars Hollow City Hospital #40
Sunnydale South Hospital #47
Rivertown Memorial Hospital #13
Astoria North Hospital #34
Stars Hollow General Hospital #94
Stars Hollow North Hospital #74
Greendale South Hospital #70
Springfield Memorial Hospital #66
Hill Valley South Hospital #41
Greendale Saint Hospital #56
Eagleton Regional Hospital #27
Shelbyville Regional Hospital #30
Sunnydale West Hospital #84
Dawson's Creek South Hospital #68
Hawkins General Hospital #11
Sunnydale Memorial Hospital #49
Dawson's Creek City Hospital #64
Astoria North Hospital #74
Metropolis Community Hospital #24
Shelbyville Regional Hospital #78
Eagleton Saint Hospital #21
Shelbyville East Hospital #4
Hill Valley Memorial Hospital #7
Eagleton Community Hospital #80
Hill Valley Community Hospital #98
Rivertown Memorial Hospital #68
Rivertown City Hospital #21
Sunnydale East Hospital #40
Hill Valley West Hospital #94
Eagleton North Hospital #11
Stars Hollow General Hospital #16
Hawkins General Hospital #94
Smallville West Hospital #88
Eagleton City Hospital #1
Rivertown Memorial Hospital #16
Capitol City South Hospital #91
Dawson's Creek Saint Hospital #42
Greendale General Hospital #82
Sunnydale General Hospital #79
Metropolis Memorial Hospital #59
Metropolis Saint Hospital #52
Eagleton General Hospital #46
Dawson's Creek East Hospital #7
Smallville West Hospital #20
Hill Valley Community Hospital #19
Capitol City Community Hospital #83
Dawson's Creek East Hospital #4
Hill Valley Saint Hospital #7
Sunnydale Memorial Hospital #82
Gotham Regional Hospital #92
Sunnydale Community Hospital #2
Dawson's Creek Memorial Hospital #68
Eagleton West Hospital #7
Astoria General Hospital #89
Rivertown General Hospital #95
Gotham East Hospital #58
Sunnydale Community Hospital #11
Rivertown East Hospital #82
Sunnydale South Hospital #20
